id,created_at,updated_at,initial_message,status,channel,user_id,sender_name,email,team_id,team_name,agent_id,agent_name,closed_by_id,closed_by_name,seconds_to_first_reply,seconds_to_last_close,wait_minutes,num_messages,num_escalations,num_reopens,csat_rating
20150301,2020-04-26 22:48:41,2020-04-27 06:27:00,"Hi there, can you explain how billing and credits function?",Closed,Email,538107,Aaliyah Funk,aaliyah@craftery.com,64508,CRAFTERY,3464222,Fred Rogers,3464222,Fred Rogers,27296,27499,454.9333,0,0,1,4
20150302,2020-04-27 03:17:37,2020-04-27 06:26:48,"Hi, any plans to integrate with Google Fonts?",Closed,Desktop,557590,Alverta Turcotte,alverta@handmade.ly,90906,handmade.ly,3464222,Fred Rogers,3464222,Fred Rogers,11147,11350,185.7833,0,0,1,5
20150303,2020-05-01 08:31:59,2020-05-07 09:18:40,Call me.,Closed,Desktop,542378,Amie Goyette,amie@craftery.com,64508,CRAFTERY,3464222,Fred Rogers,3464222,Fred Rogers,1082,520634,18.0333,2,0,1,5
20150304,2020-05-02 16:25:01,2020-05-09 12:02:22,I've told all my friends about you -- keep up the great work!,Closed,Desktop,526161,Annette Leannon,annette@yobbit.com,48137,Yobbit,3464222,Fred Rogers,3464222,Fred Rogers,405671,589041,6761.1833,1,0,1,5
20150305,2020-05-03 06:35:50,2020-05-07 09:28:52,Any way to have designs sync from your desktop to your iPhone? We'd like to look at mobile designs in the right perspective.,Closed,Desktop,517446,Antonio Crona,antonio@croczo.com,77114,Croczo,3464222,Fred Rogers,3464222,Fred Rogers,308598,355262,5143.3,2,0,2,3
20150307,2020-05-07 14:14:31,2020-05-09 14:49:13,I love the new emoji palette feature. Much easier to express myself.,Closed,Desktop,526161,Annette Leannon,annette@yobbit.com,48137,Yobbit,3464222,Fred Rogers,3464222,Fred Rogers,1953,1956,32.55,1,0,1,5
20150308,2020-05-10 07:31:01,2020-05-16 08:30:56,Best. App. Ever.,Closed,Desktop,572915,Billy Bailey,billy@handmade.ly,90906,handmade.ly,3464222,Fred Rogers,3464222,Fred Rogers,434901,435304,7248.35,2,0,1,5
20150309,2020-05-11 14:45:40,2020-05-11 15:04:46,How long would it take to import my Google Photos library?,Closed,Email,467427,Brittany Barton,brittany@bakelane.com,47424,Bakelane,3464222,Fred Rogers,3464222,Fred Rogers,924,1127,15.4,0,0,1,5
20150311,2020-05-14 11:54:21,2020-05-21 08:35:46,"Hello, can you help me with the auto-organize feature?",Closed,Desktop,552444,Chloe Schowalter,chloe@band.ly,46122,band.ly,3464222,Fred Rogers,3464222,Fred Rogers,204,586563,3.4,8,0,1,4
20150312,2020-05-14 12:09:23,2020-05-15 09:48:56,"I think I'm doing it right, but I get a crash error when using the auto-organize feature. Help!",Closed,Desktop,511551,Colby StrosinI,colby@cookbright.com,46856,Cookbright,3464222,Fred Rogers,3464222,Fred Rogers,877,77973,14.6167,2,0,1,4
20150313,2020-05-14 13:44:30,2020-05-21 06:50:35,"Hello, please can you help me with auto-organize?",Snoozed,Desktop,525692,Cole Bode,cole@jiffybake.com,45804,Jiffybake,3464222,Fred Rogers,"","",1889,"",31.4833,10,"","",""
20150314,2020-05-15 21:06:24,2020-05-22 06:49:19,"Hi, reporting a problem with the auto-organize feature.",Closed,Desktop,569241,Constantin Roberts,constantin@dinner.ly,79205,dinner.ly,3464222,Fred Rogers,3464222,Fred Rogers,21412,553375,356.8667,0,0,1,4
20150315,2020-05-17 21:47:08,2020-05-18 13:02:01,Can I import SVGs? Or just PNG  / JPG?,Open,Desktop,479025,Daria Shah,daria@strawberrywhale.com,84035,StrawberryWhale,3464222,Fred Rogers,"","",4825,"",80.4167,3,"","",""
20150316,2020-05-21 03:12:44,2020-05-22 06:48:18,Can you help me import a file from Sketch? Even possible?,Closed,Desktop,555090,Davonte Nicolas,davonte@couturespot.com,46702,Couturespot,3464222,Fred Rogers,3464222,Fred Rogers,57483,99334,958.05,1,0,1,4
20150317,2020-05-21 11:56:41,2020-05-22 10:20:35,Any plan to integrate with Google Drive?,Closed,Desktop,522351,Delaney Schulist,delaney@cookbright.com,46856,Cookbright,3464222,Fred Rogers,3464222,Fred Rogers,67888,67890,1131.4667,1,0,1,4
20150318,2020-05-22 10:43:03,2020-05-22 13:02:47,Can I get an older version of the product? This new one is having troubles with Internet Explorer 6.,Open,Desktop,562635,Demetrius Stark,demetrius@lunchbag.com,93043,Lunchbag,3464222,Fred Rogers,"","",219,"",3.65,3,"","",""
20150319,2020-04-27 11:20:10,2020-04-30 16:20:37,"Hi, I keep getting a warning that ""image size too large: upload failed"". What's the biggest file size allowed? 200MB too large?",Closed,Desktop,478060,Desiree Beier,desiree@lagerly.com,49373,Lagerly,3652987,Sally Bishop,972899,Aditya Kaur,625,277227,10.4167,1,0,1,5
20150320,2020-04-30 00:20:36,2020-05-06 20:29:15,I'd like to be able to intergrate my app with my Asana. When you working on that?,Closed,Desktop,577280,Bala Shah,bala@iwire.com,98366,iWire,3652987,Sally Bishop,972899,Aditya Kaur,68265,504003,1137.75,2,0,2,4
20150321,2020-04-30 02:01:50,2020-05-15 14:58:53,"Hello, do you think you'll integrate with Zapier soon?",Closed,Desktop,524779,Dominic Predovic,dominic@conder.com,47474,Conder,3652987,Sally Bishop,972899,Aditya Kaur,34635,678638,577.25,5,0,1,5
20150322,2020-04-30 06:24:12,2020-05-23 09:12:59,Do you have an API? I'm looking for documentation and didn't see it.,Closed,Desktop,535920,Christy Gerhold,christy@sportflip.com,49852,sportflip,3652987,Sally Bishop,3652987,Sally Bishop,46569,1910927,776.15,1,0,1,3
20150323,2020-05-06 08:56:33,2020-05-23 09:13:03,What do you think about partnering with iStockphoto?,Closed,Desktop,462256,Earline Dicki,earline@fitnesse.com,45907,Fitnesse,3652987,Sally Bishop,3652987,Sally Bishop,707443,1469790,11790.7167,1,3,5,1
20150325,2020-05-10 15:45:18,2020-05-14 13:14:43,Can I import SVGs?,Closed,Desktop,552983,Horacio Quigley,horacio@band.ly,46122,band.ly,3652987,Sally Bishop,3652987,Sally Bishop,336362,336565,5606.0333,0,0,1,5
20150326,2020-05-11 08:15:13,2020-05-14 13:13:23,"When are you planning on adding default icons, like as a library? Would love that!",Closed,Desktop,560956,Isobel Pouros,isobel@wearcade.com,46100,Wearcade,3652987,Sally Bishop,3652987,Sally Bishop,277074,277074,4617.9,1,1,1,2
20150327,2020-05-11 12:00:43,2020-05-14 13:24:13,"I'd love to be able to export designs at 2x, 3x, etc the original size. That would be helpful when printing big printouts for team events. Thanks!",Closed,Desktop,530365,Duncan Oberbrunner,duncan@seedling.com,65502,Seedling,3652987,Sally Bishop,972899,Aditya Kaur,264209,264209,4403.4833,1,0,1,5
20150328,2020-05-12 07:36:00,2020-05-23 09:11:48,Any thoughts on adding a Clippy-like assistant in app?,Closed,Desktop,562694,Edwina Ward,edwina@investstack.com,48251,Investstack,3652987,Sally Bishop,3652987,Sally Bishop,180545,956148,3009.0833,5,0,3,2
20150329,2020-05-12 23:41:40,2020-05-23 09:12:29,Can I compress images?,Closed,Desktop,513312,Elizabeth BarrowsI,elizabeth@cookbright.com,46856,Cookbright,3652987,Sally Bishop,3652987,Sally Bishop,135854,487468,2264.2333,5,0,2,5
20150330,2020-05-16 09:26:46,2020-05-18 11:48:05,"Hi there, I'd love to be able to export my designs easily as an SVG.",Open,Desktop,493283,Emmanuel Thompson,emmanuel@craftery.com,64508,CRAFTERY,3652987,Sally Bishop,"","",5869,"",97.8167,1,"","",""
20150331,2020-05-21 20:40:25,2020-05-21 20:40:29,"Can you add to your roadmap a ""TV mode"". Want to put our canvases up on a big screen.",Open,Desktop,571484,Erik Hansen,erik@packyard.com,96249,Packyard,3652987,Sally Bishop,"","","","","",0,"","",""
